Name,Number of Records,Devices,Tests,Avg. Avg U Kbps,Avg. Avg D Kbps,Avg Lat Ms,Avg. Pop2005,Rank Upload,Rank Download,Rank Latency
China,"309,014","860,054","1,988,170","22,065","92,053",31,"1,312,978,855",4,5,152
Colombia,"13,295","77,635","190,180","7,578","15,859",53,"4,494,579",167,163,50
Comoros,24,42,109,"12,075","27,304",117,"797,902",71,99,11
Congo,117,180,704,"8,828","19,004",26,"3,609,851",145,138,190
Cook Islands,9,10,13,"12,263","52,531",16,"13,984",65,22,224
Costa Rica,"5,761","30,016","56,937","6,928","16,185",37,"4,327,228",182,160,112
Cote d'Ivoire,808,"1,362","3,897","8,740","14,072",40,"18,584,701",147,178,94
Croatia,"17,001","44,272","86,293","13,243","51,561",36,"455,149",43,23,118
Cuba,290,390,692,"11,458","27,537",95,"11,259,905",83,95,16
Cyprus,"1,723","3,274","5,560","11,180","36,044",32,"836,321",92,62,144
Czech Republic,"14,719","21,363","37,043","14,607","40,941",28,"10,191,762",28,49,173
Democratic Republic of the Congo,260,359,"1,047","9,575","12,699",57,"58,740,547",129,188,43
Denmark,"17,069","28,166","58,070","16,949","49,975",25,"5,416,945",19,25,192
Djibouti,28,42,94,"9,545","14,681",31,"804,206",131,173,152
Dominica,43,51,86,"7,087","25,526",74,"67,827",177,106,29
Dominican Republic,"4,038","15,302","34,064","6,547","20,210",38,"9,469,601",186,128,104
Ecuador,"4,511","12,942","23,733","9,227","19,535",40,"13,060,993",138,135,94
Egypt,"15,481","56,698","110,789","7,896","16,932",42,"72,849,793",162,152,89
El Salvador,"2,274","9,185","24,826","5,240","10,820",49,"6,668,356",203,202,60
Equatorial Guinea,22,32,75,"6,464","14,681",58,"484,098",190,173,42
Estonia,"7,869","13,458","24,816","12,194","44,330",27,"1,344,312",69,39,180
Ethiopia,513,"1,091","3,146","11,428","17,715",32,"78,985,857",87,150,144
Faroe Islands,154,215,358,"26,175","77,522",29,"48,205",3,9,165
Fiji,500,"1,059","2,603","12,499","27,007",30,"828,046",61,100,158
Finland,"71,095","161,191","354,638","11,609","39,642",29,"5,246,004",78,50,165
France,"90,055","144,639","307,487","9,834","44,136",38,"60,990,544",122,40,104
French Guiana,101,134,283,"9,237","36,398",138,"192,099",137,57,9
French Polynesia,206,392,841,"10,194","17,942",21,"255,632",111,147,214
Gabon,126,153,274,"7,622","17,694",78,"1,290,693",166,151,24
Gambia,79,112,243,"5,975","10,813",28,"1,617,029",197,203,173
Georgia,"2,170","3,608","6,935","10,863","25,170",33,"4,473,409",98,107,138
Germany,"113,875","183,991","330,912","11,088","35,062",36,"82,652,369",94,64,118
Ghana,"1,468","2,011","5,455","7,100","13,212",53,"2,253,501",176,183,50
Gibraltar,21,42,70,"12,565","49,971",45,291,59,26,76
Greece,"15,973","49,191","89,267","11,279","36,504",30,"11,099,737",90,56,158
Greenland,111,161,243,"27,166","59,396",70,"57,475",2,18,31
Grenada,41,50,91,"5,358","20,860",106,"105,237",201,125,12
Guadeloupe,191,234,477,"10,475","42,135",103,"438,403",103,46,13
Guam,318,790,"1,947","7,075","18,827",46,"16,857",178,141,69
Guatemala,"4,354","15,843","34,615","13,596","18,311",33,"12,709,564",37,144,138
Guernsey,178,356,799,"13,338","41,577",24,0,40,48,197
Guinea,69,77,223,"6,503","14,681",64,"9,002,656",188,173,36
Guinea-Bissau,33,51,180,"12,864","27,402",20,"1,596,929",51,98,219
Guyana,192,294,473,"4,495","12,304",30,"739,472",210,193,158
Haiti,436,753,"2,433","7,240","12,658",36,"9,296,291",173,189,118
Holy See (Vatican City),6,106,221,"13,992","33,107",36,783,35,70,118
Honduras,"3,100","8,504","18,496","9,254","19,914",48,"683,411",136,130,64
Hong Kong,"1,464","45,081","112,102","12,598","56,844",22,"7,057,418",58,20,210
Hungary,"20,940","44,697","83,713","13,242","36,804",25,"10,086,387",44,54,192
Iceland,886,"1,149","1,774","18,097","73,834",23,"295,732",11,11,204
India,"407,873","1,798,336","5,239,009","4,929","11,726",60,"1,134,403,141",208,195,40
Indonesia,"136,188","632,987","1,796,732","9,326","13,300",51,"226,063,044",135,182,55
Iran (Islamic Republic of),"18,338","45,993","98,420","12,845","28,751",37,"69,420,607",52,91,112
Iraq,"3,638","5,784","14,273","4,902","9,175",71,"27,995,984",209,209,30
Ireland,"21,162","37,633","97,866","7,836","23,670",34,"4,143,294",165,113,134
Isle of Man,226,409,909,"12,255","22,604",40,"78,357",66,117,94
Israel,"8,174","44,703","96,289","12,041","23,169",39,"6,692,037",72,114,102
Italy,"172,610","577,703","1,413,044","10,673","34,625",43,"5,864,636",101,65,86
Jamaica,"1,439","2,522","5,712","9,969","30,247",51,"2,682,469",118,85,55
