Name,Number of Record,Devices,Tests,Avg. Avg U Kbps,Avg. Avg D Kbps,Avg Lat Ms,Avg. Pop2005,Rank Upload,Rank Download,Rank Latency
Czech Republic,"18,886","33,373","57,672","15,561","47,589",31,"10,191,762",39,57,139
Democratic Republic of the Congo,374,545,"1,319","7,797","17,299",64,"58,740,547",189,185,26
Denmark,"18,472","33,868","62,385","19,995","82,199",24,"5,416,945",14,15,199
Djibouti,48,69,118,"5,454","15,281",30,"804,206",210,200,148
Dominica,42,54,106,"8,369","29,636",80,"67,827",183,107,19
Dominican Republic,"4,401","15,572","27,199","7,238","25,023",39,"9,469,601",198,141,87
Ecuador,"5,166","14,647","23,326","9,661","21,905",35,"13,060,993",153,157,110
Egypt,"13,684","46,663","74,423","9,786","21,886",38,"72,849,793",150,158,91
El Salvador,"3,161","13,086","25,214","8,592","22,532",29,"6,668,356",175,153,157
Equatorial Guinea,70,113,352,"11,295","28,779",33,"484,098",111,116,120
Estonia,"7,005","12,467","22,000","11,984","57,027",28,"1,344,312",90,43,165
Ethiopia,771,"1,538","4,064","17,246","27,096",45,"78,985,857",28,128,56
Faroe Islands,101,132,196,"23,942","66,881",17,"48,205",6,30,224
Fiji,511,"1,131","2,467","11,428","25,859",30,"828,046",106,136,148
Finland,"69,089","165,224","336,026","13,558","69,666",26,"5,246,004",58,28,185
France,"114,086","213,852","376,877","10,541","63,213",40,"60,990,544",126,33,79
French Guiana,109,145,258,"8,504","40,514",126,"192,099",179,69,9
French Polynesia,224,479,976,"9,470","18,542",22,"255,632",157,176,209
Gabon,290,424,"1,130","8,488","21,939",33,"1,290,693",180,156,120
Gambia,106,186,674,"3,560","10,850",38,"1,617,029",218,215,91
Georgia,"3,281","6,888","12,041","12,146","31,765",31,"4,473,409",84,99,139
Germany,"127,056","228,938","401,466","14,025","58,954",33,"82,652,369",51,40,120
Ghana,"1,359","1,851","4,388","9,235","11,453",42,"2,253,501",163,212,71
Gibraltar,23,84,117,"18,160","62,203",64,291,22,34,26
Greece,"25,656","93,092","168,435","11,782","49,073",37,"11,099,737",95,55,97
Greenland,84,115,270,"19,258","79,935",117,"57,475",18,18,10
Grenada,47,59,95,"9,831","35,470",94,"105,237",147,83,15
Guadeloupe,300,412,721,"10,786","50,614",111,"438,403",122,52,13
Guam,303,851,"1,532","8,436","25,470",43,"16,857",181,139,67
Guatemala,"5,890","15,019","27,852","13,953","24,338",26,"12,709,564",53,146,185
Guernsey,138,279,520,"10,774","35,970",29,0,123,81,157
Guinea,153,196,415,"5,232","12,308",95,"9,002,656",212,210,14
Guinea-Bissau,69,88,290,"16,218","32,890",27,"1,596,929",35,93,175
Guyana,265,432,697,"11,341","33,406",28,"739,472",110,89,165
Haiti,526,848,"2,201","8,173","16,287",87,"9,296,291",186,192,17
Holy See (Vatican City),6,227,418,"16,428","73,524",33,783,32,26,120
Honduras,"3,389","9,972","18,874","9,808","25,539",37,"683,411",149,138,97
Hong Kong,"1,481","45,677","104,261","12,952","73,291",21,"7,057,418",67,27,215
Hungary,"20,802","50,281","92,059","13,132","41,947",27,"10,086,387",63,65,175
Iceland,974,"1,395","2,198","19,898","118,023",25,"295,732",15,6,195
India,"483,268","1,899,849","4,398,136","5,610","17,631",53,"1,134,403,141",209,182,43
Indonesia,"160,704","711,026","1,870,497","11,219","18,131",42,"226,063,044",114,178,71
Iran (Islamic Republic of),"25,669","70,981","148,578","12,165","32,679",38,"69,420,607",83,94,91
Iraq,"7,094","15,340","34,111","19,314","39,275",31,"27,995,984",17,73,139
Ireland,"20,796","43,783","83,965","9,975","40,780",33,"4,143,294",143,68,120
Isle of Man,202,337,609,"11,374","27,917",45,"78,357",107,123,56
Israel,"8,360","44,378","80,995","12,846","39,646",28,"6,692,037",70,71,165
Italy,"183,956","670,346","1,347,874","11,235","44,064",45,"5,864,636",113,62,56
Jamaica,"1,171","1,803","3,308","9,923","33,313",30,"2,682,469",144,91,148
Japan,"55,132","125,074","310,696","11,109","50,676",44,"127,896,740",115,51,60
Jersey,102,178,304,"12,102","60,672",22,0,85,37,209
Jordan,"6,543","29,774","47,611","15,081","21,711",22,"5,544,066",43,159,209
Kazakhstan,"18,314","44,676","83,123","10,478","25,343",40,"15,210,609",131,140,79
Kenya,"3,162","5,916","10,954","11,657","19,818",41,"35,598,952",96,168,73
Kiribati,11,12,16,"5,001","21,045",274,"92,003",214,163,4
"Korea, Democratic People's Republic of",5,5,5,"11,261","44,757",33,"23,615,611",112,61,120
"Korea, Republic of","11,390","20,993","43,422","24,463","214,707",27,"47,869,837",5,1,175
Kuwait,"2,916","21,176","43,183","25,963","157,853",22,"2,700",2,3,209
Kyrgyzstan,"3,083","5,510","10,381","10,897","22,990",28,"5,203,547",119,151,165
Lao People's Democratic Republic,"5,215","10,467","22,276","12,644","27,489",33,"566,391",75,125,120
Latvia,"8,892","18,463","34,001","10,157","41,272",26,"2,301,793",141,67,185
Lebanon,"2,598","5,547","9,853","11,346","31,662",34,"401,074",109,100,116
Lesotho,151,178,875,"12,871","32,047",23,"1,980,831",69,98,206
Liberia,97,146,"5,105","8,555","17,244",25,"3,441,796",176,186,195
Libyan Arab Jamahiriya,"4,157","8,350","16,938","6,564","15,911",37,"5,918,217",206,195,97
Liechtenstein,129,242,444,"18,142","74,035",32,"34,598",23,25,128
Lithuania,"9,823","17,413","31,823","12,254","58,104",31,"3,425,077",81,41,139
Luxembourg,"1,056","2,249","3,953","16,282","80,072",31,"456,613",33,17,139
Macau,35,"1,272","3,606","22,621","51,570",21,"47,309",9,50,215
Madagascar,849,"1,079","1,712","3,626","16,471",116,"18,642,586",217,191,11
Malawi,385,525,"1,080","16,877","33,400",27,"13,226,091",29,90,175
Malaysia,"56,204","459,937","1,399,156","9,152","23,802",38,"25,652,985",165,149,91
Maldives,31,349,596,"15,569","63,388",23,"295,297",38,32,206
Mali,438,703,"2,038","9,814","34,120",55,"1,161,109",148,88,38
