Mobile,Country,Upload,Download,Latency,GDP Growth
0.0,Malta,-8128.0,-57172.0,32.0,-7.00112961514149
0.0,Mauritania,25826.0,41049.0,-87.0,-1.48848721412935
0.0,Mauritius,-6285.0,-9888.0,83.0,-14.867831289276
0.0,Mexico,-4105.0,2547.0,249.0,-8.23947327731744
0.0,Mongolia,60480.0,81820.0,7.0,-5.33555201697223
0.0,Montenegro,15596.0,-11577.0,4.0,-15.158984433142
0.0,Morocco,1162.0,3535.0,-32.0,-7.11723216887476
0.0,Mozambique,5790.0,14792.0,5.0,-1.28188697176552
0.0,Namibia,1217.0,573.0,-50.0,-7.98354382508364
0.0,Nepal,2032.0,3844.0,111.0,-2.08837869543885
0.0,Netherlands,-29824.0,-61298.0,6.0,-3.79863599268334
0.0,New Zealand,-12778.0,-11649.0,-16.0,0.98096509294345
0.0,Nicaragua,43234.0,69785.0,-11.0,-1.97732939329578
0.0,Niger,3580.0,13787.0,-234.0,1.50000554259205
0.0,Nigeria,3997.0,6346.0,34.0,-1.79425308233591
0.0,Norway,-69046.0,-48341.0,-5.0,-0.76586036472996
0.0,Pakistan,12285.0,34023.0,-32.0,0.525527438790377
0.0,Panama,-3088.0,-6150.0,-6.0,-17.9493316725846
0.0,Papua New Guinea,11217.0,79275.0,-247.0,-3.878818537374
0.0,Paraguay,-2961.0,-4722.0,205.0,-0.999999999994245
0.0,Peru,7800.0,15042.0,-20.0,-11.1488118768393
0.0,Philippines,5175.0,15511.0,-25.0,-9.57302987461006
0.0,Poland,5311.0,-21873.0,17.0,-2.70170919482509
0.0,Portugal,-2331.0,20273.0,-3.0,-7.57277776605211
0.0,Puerto Rico,43050.0,57273.0,-32.0,-3.90330519298465
0.0,Qatar,-41615.0,-12200.0,30.0,-3.66783552589879
0.0,Romania,75343.0,87875.0,-4.0,-3.85937359255286
0.0,Rwanda,49461.0,48176.0,-26.0,-3.35547212198846
0.0,Samoa,-3724.0,31536.0,6.0,-2.74256739608303
0.0,Sao Tome and Principe,7064.0,63839.0,-11.0,3.08972555522433
0.0,Saudi Arabia,-9119.0,-24881.0,-28.0,-4.10658341159909
0.0,Senegal,19588.0,56494.0,-45.0,0.870408531926302
0.0,Serbia,-1786.0,-1823.0,52.0,-0.979714616234148
0.0,Seychelles,-2265.0,21031.0,-8.0,-10.7204870650812
0.0,Sierra Leone,23352.0,22318.0,-18.0,-2.16249723146613
0.0,Singapore,-146634.0,-139732.0,32.0,-5.39102140610559
0.0,Slovenia,5748.0,9906.0,-1.0,-4.22926138908075
0.0,Solomon Islands,22773.0,59192.0,-185.0,-4.31726002703921
0.0,Somalia,-1761.0,2348.0,149.0,-1.49516270888303
0.0,South Africa,-2577.0,-6230.0,32.0,-6.95960445218964
0.0,Spain,-55043.0,-55147.0,1.0,-10.8228864939664
0.0,Sri Lanka,92851.0,100627.0,-9.0,-3.5690761372374
0.0,Sudan,3110.0,12245.0,-108.0,-1.56216179984276
0.0,Suriname,1827.0,-1375.0,43.0,-14.5
0.0,Sweden,-70899.0,-85064.0,77.0,-2.79533514243728
0.0,Switzerland,42600.0,18833.0,0.0,-2.39282604159746
0.0,Tajikistan,22231.0,66863.0,-43.0,4.49999951669761
0.0,Thailand,-80477.0,-95429.0,23.0,-6.08722028505679
0.0,Timor-Leste,3352.0,15632.0,-224.0,-8.70254848621823
0.0,Togo,10897.0,-3334.0,0.0,1.75280074920752
0.0,Trinidad and Tobago,-18033.0,-33059.0,30.0,-7.83187649658342
0.0,Tunisia,39670.0,64521.0,-34.0,-8.60031028272616
0.0,Turkey,-2452.0,-7613.0,6.0,1.7566507625293
0.0,Turks and Caicos Islands,-7103.0,-15792.0,62.0,-26.8000042915066
0.0,Uganda,5129.0,17382.0,-20.0,2.85758127391374
0.0,Ukraine,-23534.0,-20234.0,20.0,-4.02031771396206
0.0,United Kingdom,75048.0,110845.0,-23.0,-9.79024036173693
0.0,United States,-20037.0,-90063.0,-8.0,-3.48614040819797
0.0,Uruguay,-65.0,6920.0,-7.0,-5.85872124345026
0.0,Uzbekistan,-5433.0,16234.0,-15.0,1.64779710168759
0.0,Vanuatu,21932.0,21484.0,-112.0,-9.23532846095011
0.0,Zambia,-4474.0,-4522.0,62.0,-3.01618890347348
0.0,Zimbabwe,-1228.0,781.0,-3.0,-7.99999999999999
0.0,Afghanistan,-198.0,1151.0,-17.0,-1.9347782488959
0.0,Albania,4953.0,8985.0,-1.0,-3.31123944391327
0.0,Algeria,425.0,5123.0,-4.0,-5.48099193515836
0.0,Andorra,19980.0,22565.0,-1.0,-11.9560584192697
0.0,Angola,1511.0,798.0,3.0,-4.04051000025351
0.0,Antigua and Barbuda,2931.0,4236.0,-10.0,-15.9735096410208
0.0,Argentina,5765.0,7503.0,-10.0,-9.90523485573888
0.0,Armenia,3537.0,5556.0,-2.0,-7.59999999999999
0.0,Australia,1832.0,17237.0,3.0,-0.284839297785609
0.0,Austria,3391.0,12185.0,-3.0,-6.25903481882027
0.0,Azerbaijan,2609.0,2596.0,2.0,-4.30998913316057
0.0,Bahrain,4558.0,34146.0,-3.0,-5.81468342829542
0.0,Bangladesh,4036.0,8212.0,-10.0,2.37552165571601
0.0,Barbados,6033.0,33703.0,0.0,-17.6053641017878
0.0,Belarus,4468.0,6428.0,-2.0,-0.900000000246891
0.0,Belgium,1725.0,23749.0,-1.0,-6.28392995127165
0.0,Belize,1351.0,1511.0,1.0,-14.0384211620734
0.0,Benin,2685.0,3984.0,-17.0,3.84879240030133
0.0,Bhutan,2230.0,2484.0,-10.0,-6.77210161101478
0.0,Bolivia,2062.0,4872.0,-7.0,-7.82328995009992
0.0,Bosnia and Herzegovina,956.0,3085.0,-2.0,-4.32734580579653
0.0,Botswana,213.0,954.0,-1.0,-7.89305358895749
0.0,Brazil,18027.0,25973.0,-5.0,-4.05904827267295
0.0,Brunei Darussalam,8009.0,11082.0,0.0,1.20300193904603
0.0,Bulgaria,7293.0,10141.0,-1.0,-4.15370282988493
0.0,Burkina Faso,827.0,9457.0,-58.0,2.02238469536866
0.0,Burundi,3614.0,5663.0,-1.0,0.297577119233125
0.0,Cambodia,1643.0,2870.0,-2.0,-3.14103480632566
0.0,Cameroon,537.0,3543.0,26.0,0.730339198197697
0.0,Canada,11709.0,33454.0,-5.0,-5.31294474285987
0.0,Central African Republic,13558.0,7174.0,-61.0,0.0
0.0,Chad,14117.0,13816.0,89.0,-0.890209999072951
0.0,Chile,46060.0,58715.0,-6.0,-5.77150166876176
0.0,China,8852.0,45071.0,-1.0,2.29999999995441
0.0,Colombia,5260.0,10190.0,-21.0,-6.8473142056573
0.0,Comoros,-2057.0,26998.0,-90.0,4.91077747534176
0.0,Costa Rica,3202.0,10937.0,-6.0,-4.53996591674169
0.0,Cote d'Ivoire,437.0,12980.0,8.0,1.81644146095073
0.0,Croatia,4411.0,8282.0,-4.0,-8.36737821725714
0.0,Cyprus,4062.0,9892.0,-2.0,-5.10347951905253
0.0,Czech Republic,4659.0,12327.0,-1.0,-5.79357128432328
0.0,Denmark,27348.0,45620.0,-2.0,-2.06212495876164
0.0,Djibouti,1432.0,813.0,-13.0,0.499999999999986
0.0,Dominica,-1608.0,4986.0,4.0,-16.7091602926228
0.0,Dominican Republic,2078.0,3491.0,-8.0,-6.72023937283404
0.0,Ecuador,7266.0,8175.0,-20.0,-7.75012337710913
0.0,El Salvador,1482.0,4841.0,-19.0,-7.94398461326071
0.0,Equatorial Guinea,-1928.0,-854.0,25.0,-4.89335647440198
0.0,Estonia,9015.0,13397.0,-1.0,-2.95106931268964
0.0,Ethiopia,686.0,1356.0,-7.0,6.05661779202561
0.0,Fiji,1840.0,2687.0,-7.0,-19.0487564856799
0.0,Finland,10199.0,27684.0,-2.0,-2.87069059271343
0.0,France,29979.0,44260.0,-5.0,-7.85525603703762
